teta V2O5,intensidad V2O5,teta V3O8,intensidad V3O8,teta VO2,intensidad VO2,teta V2O3,intensidad V2O3,teta V2O5-H,intensidad  V2O5-H,teta Si,intensidad Si
15.339,0.404,9.271,0.002,18.886,0.082,24.397,0.693,14.698,0.074,26.848,0.165
20.244,0.999,18.603,0.048,20.461,0.999,33.075,0.89,18.547,0.999,33.038,0.806
21.671,0.321,18.914,0.981,26.294,0.396,36.402,0.803,22.002,0.513,38.334,0.011
25.497,0.044,18.964,0.027,33.979,0.444,38.579,0.066,25.377,0.138,51.485,0.601
26.099,0.788,23.05,0.245,35.695,0.098,41.383,0.316,29.645,0.346,55.332,0.142
30.898,0.311,23.174,0.251,36.106,0.435,44.31,0.067,30.787,0.12,59.008,0.054
30.961,0.363,28.062,0.56,36.728,0.012,49.997,0.334,32.772,0.065,62.547,0.036
32.31,0.3,29.75,0.012,36.996,0.18,54.083,0.999,35.605,0.021,65.975,0.041
33.253,0.095,29.914,0.104,37.999,0.077,56.842,0.004,36.753,0.675,69.315,0.002
34.229,0.312,30.232,0.999,38.311,0.02,57.41,0.005,37.474,0.024,72.582,0.081
35.949,0.036,33.084,0.124,40.685,0.323,58.638,0.07,37.486,0.005,78.957,0.097
37.274,0.026,35.275,0.053,41.613,0.087,63.404,0.271,37.604,0.013,82.089,0.061
41.157,0.149,36.524,0.391,42.691,0.001,65.506,0.405,38.447,0.009,85.196,0.007
41.927,0.078,37.201,0.003,46.29,0.192,66.851,0.002,40.585,0.05,88.29,0.048
44.169,0.008,37.721,0.02,47.129,0.125,70.81,0.159,42.62,0.051,91.378,0.2
45.357,0.149,37.804,0.006,49.474,0.11,71.711,0.035,43.619,0.056,94.471,0.012
46.818,0.006,37.99,0.026,49.728,0.039,75.663,0.001,45.131,0.032,97.576,0.023
47.202,0.201,38.222,0.411,52.453,0.081,77.322,0.082,46.446,0.25,100.704,0.001
47.72,0.133,38.37,0.017,53.36,0.116,78.676,0.066,48.459,0.102,103.865,0.042
48.712,0.134,38.475,0.005,54.117,0.06,80.508,0.02,48.491,0.008,107.07,0.018
49.388,0.035,40.119,0.001,57.172,0.255,82.324,0.084,50.246,0.344,110.33,0.057
51.115,0.238,40.22,0.287,57.324,0.004,82.52,0.038,51.584,0.08,113.661,0.08
51.375,0.019,41.806,0.052,58.971,0.025,82.704,0.033,51.826,0.003,117.08,0.115
51.498,0.002,42.001,0.002,60.033,0.09,86.708,0.08,52.119,0.003,120.606,0.015
51.856,0.096,44.989,0.029,61.598,0.232,89.93,0.192,54.464,0.111,132.13,0.062
52.38,0.013,45.599,0.001,62.235,0.014,93.529,0.136,55.339,0.061,136.445,0.006
53.691,0.022,45.735,0.009,62.289,0.12,93.724,0.018,56.607,0.016,141.134,0.112
55.53,0.101,46.694,0.012,63.391,0.001,93.907,0.028,57.634,0.014,146.357,0.089
56.146,0.038,46.895,0.157,63.444,0.116,97.915,0.026,57.822,0.003,152.425,0.119
57.97,0.008,47.104,0.007,65.474,0.193,103.507,0.003,59.06,0.1,160.102,0.106
58.36,0.055,47.371,0.011,66.845,0.004,103.999,0.001,61.548,0.028,173.826,0.999
58.845,0.099,47.667,0.026,67.42,0.054,104.673,0.015,61.794,0.005,,
59.876,0.04,50.562,0.056,67.837,0.085,105.075,0.01,61.848,0.001,,
60.933,0.072,50.689,0.02,68.822,0.007,105.759,0.011,62.028,0.099,,
60.97,0.082,52.517,0.031,69.904,0.038,109.441,0.091,62.2,0.113,,
61.927,0.163,52.681,0.017,70.245,0.012,111.464,0.097,62.333,0.075,,
63.639,0.002,52.933,0.005,70.927,0.002,112.793,0.001,62.88,0.044,,
64.074,0.002,54.18,0.043,72.904,0.001,114.865,0.02,64.131,0.002,,
64.207,0.028,54.299,0.007,73.09,0.034,115.385,0.002,64.739,0.011,,
64.385,0.036,54.499,0.008,73.96,0.072,116.643,0.021,65.349,0.047,,
64.528,0.005,56.251,0.005,75.608,0.003,116.861,0.145,65.834,0.04,,
64.944,0.013,56.466,0.019,76.403,0.021,117.284,0.125,66.659,0.034,,
65.87,0.055,57.362,0.002,76.602,0.008,122.202,0.001,66.683,0.042,,
